line_cd,line_sort,rr_name,line_type,enabled,last_date,line_name,line_nickname
11506,11506,2,1,,JR東海,武豊線,
11507,11507,2,1,,JR東海,太多線,
11508,11508,2,1,,JR東海,関西本線(名古屋〜亀山),
11509,11509,2,1,,JR西日本,関西本線(亀山〜加茂),
11510,11510,2,1,,JR東海,紀勢本線(亀山〜新宮),
11511,11511,2,1,,JR西日本,草津線,
11512,11512,2,1,,JR東海,参宮線,
11513,11513,2,1,,JR東海,名松線,
11573,11503,2,1,,JR東海,東海道本線(新垂井回り),
11574,11503,2,1,,JR東海,東海道本線(美濃赤坂支線),
11601,11601,2,1,,JR西日本,東海道本線(米原〜京都),琵琶湖線
11602,11602,2,1,,JR西日本,東海道本線(京都〜大阪),京都線
11603,11603,2,1,,JR西日本,東海道本線(大阪〜神戸),神戸線
11605,11605,2,1,,JR西日本,湖西線,
11607,11607,2,1,,JR西日本,関西本線(加茂〜ＪＲ難波),大和路線
11608,11608,2,1,,JR西日本,山陽本線(神戸〜姫路),神戸線
11609,11609,2,1,,JR西日本,山陽本線(姫路〜岡山),
11610,11610,2,1,,JR西日本,山陽本線(岡山〜三原),
11611,11611,2,1,,JR西日本,山陽本線(三原〜岩国),
11612,11612,2,1,,JR西日本,山陽本線(岩国〜下関),
11613,11613,2,1,,JR西日本,山陽本線(兵庫〜和田岬),
11614,11614,2,1,,JR西日本,山陰本線(京都〜園部),嵯峨野線
11615,11615,2,1,,JR西日本,山陰本線(園部〜豊岡),
11616,11616,2,1,,JR西日本,山陰本線(豊岡〜米子),
11617,11617,2,1,,JR西日本,片町線,学研都市線
11618,11618,2,1,,JR西日本,奈良線,
11622,11622,2,1,,JR西日本,舞鶴線,
11623,11623,2,1,,JR西日本,大阪環状線,
11624,11624,2,1,,JR西日本,桜島線,ゆめ咲線
11625,11625,2,1,,JR西日本,JR東西線,
11626,11626,2,1,,JR西日本,阪和線(天王寺〜和歌山),
11627,11627,2,1,,JR西日本,阪和線(鳳〜東羽衣),
11628,11628,2,1,,JR西日本,関西空港線,
11629,11629,2,1,,JR西日本,福知山線(新大阪〜篠山口),宝塚線
11630,11630,2,1,,JR西日本,福知山線(篠山口〜福知山),
11631,11631,2,1,,JR西日本,赤穂線,
11632,11632,2,1,,JR西日本,加古川線,
11633,11633,2,1,,JR西日本,姫新線(姫路〜佐用),
11634,11634,2,1,,JR西日本,姫新線(佐用〜新見),
11635,11635,2,1,,JR西日本,播但線,
11636,11636,2,1,,JR西日本,和歌山線,
11637,11637,2,1,,JR西日本,桜井線,
11639,11639,2,1,,JR西日本,紀勢本線(新宮〜和歌山),きのくに線
11640,11640,2,1,,JR西日本,紀勢本線(和歌山〜和歌山市),
11641,11641,2,1,,JR西日本,おおさか東線,
11672,11612,2,1,,JR九州,山陽本線(下関〜門司),
11701,11701,2,1,,JR西日本,山陰本線(米子〜益田),
11702,11702,2,1,,JR西日本,山陰本線(益田〜下関),
11703,11703,2,1,,JR西日本,伯備線,
11704,11704,2,1,,JR西日本,因美線,
11705,11705,2,1,,JR西日本,境線,
11706,11706,2,1,,JR西日本,木次線,
11707,11707,2,1,,JR西日本,三江線,
11708,11708,2,1,,JR西日本,山口線,
11709,11709,2,1,,JR西日本,宇野線,
11710,11710,2,1,,JR西日本,本四備讃線,瀬戸大橋線
11713,11713,2,1,,JR西日本,吉備線,
11714,11714,2,1,,JR西日本,芸備線,
11715,11715,2,1,,JR西日本,津山線,
11716,11716,2,1,,JR西日本,呉線,
11717,11717,2,1,,JR西日本,可部線,
11720,11720,2,1,,JR西日本,福塩線,
11721,11721,2,1,,JR西日本,宇部線,
11722,11722,2,1,,JR西日本,美祢線,
11723,11723,2,1,,JR西日本,小野田線,
11724,11724,2,1,,JR西日本,岩徳線,
11770,11710,2,1,,JR四国,本四備讃線,瀬戸大橋線
11782,11722,2,1,,JR西日本,山陰本線(長門市～仙崎),
11783,11723,2,1,,JR西日本,小野田線(長門本山支線),
11801,11801,2,1,,JR四国,土讃線,
11802,11802,2,1,,JR四国,高徳線,
11803,11803,2,1,,JR四国,徳島線,よしの川ブルーライン
11804,11804,2,1,,JR四国,牟岐線,
