日本の鉄道路線一覧,2011年7月1日時点のデータ,,,,,,最終更新　2011年10月16日
総合計,27443.0,,,,,27443.0,
会社名,距離(km),種別,線名,区間,,距離(km),備考
,,,内房線,蘇我,安房鴨川,119.4,
,,,京葉線,西船橋,蘇我,22.4,
,,,京葉線(1),東京,南船橋,26.0,
,,,京葉線(2),市川塩浜,西船橋,5.9,
,,,成田線,佐倉,松岸,75.4,
,,,成田線(1),成田,我孫子,32.9,
,,,成田線(2),成田,成田線分岐点,2.1,
,,,成田線(3),成田線分岐点,成田空港,8.7,第２種　第３種は成田空港高速鉄道
,,,鹿島線,香取,鹿島サッカースタジアム,17.4,
,,,久留里線,木更津,上総亀山,32.2,
,,,東金線,大網,成東,13.8,
東海旅客鉄道,1970.8,,,,,,
,,,東海道線,熱海,米原,341.3,
,,,東海道線(1),大垣,関ヶ原,13.8,
,,,東海道線(2),大垣,美濃赤坂,5.0,
,,,東海道新幹線,東京,新大阪,552.6,
,,,御殿場線,国府津,沼津,60.2,
,,,身延線,富士,甲府,88.4,
,,,飯田線,豊橋,辰野,195.7,
,,,武豊線,大府,武豊,19.3,
,,,高山線,岐阜,猪谷,189.2,
,,,中央線,塩尻,名古屋,174.8,
,,,太多線,多治見,美濃太田,17.8,
,,,城北線,勝川,枇杷島,,時刻表非掲載　距離合計から除外（距離11.2km）
,,,関西線,名古屋,亀山,59.9,
,,,紀勢線,亀山,新宮,180.2,
,,,名松線,松阪,伊勢奥津,43.5,
,,,参宮線,多気,鳥羽,29.1,
西日本旅客鉄道,4991.4,,,,,,
,,,東海道線,米原,神戸,143.6,
,,,東海道線(1),吹田,尼崎,,時刻表非掲載　距離合計から除外（距離10.7km）
,,,湖西線,近江塩津,山科,74.1,
,,,大阪環状線,天王寺,新今宮,20.7
,,,桜島線,西九条,桜島,4.1
,,,福知山線,尼崎,福知山,106.5
,,,北陸線,直江津,米原,353.8
,,,小浜線,敦賀,東舞鶴,84.3
,,,越美北線,越前花堂,九頭竜湖,52.5
,,,七尾線,津幡,和倉温泉,59.5
,,,城端線,高岡,城端,29.9
,,,氷見線,高岡,氷見,16.5
,,,高山線,猪谷,富山,36.6
,,,大糸線,南小谷,糸魚川,35.3
,,,山陽線,神戸,下関,528.1
,,,山陽線(1),兵庫,和田岬,2.7
,,,山陽新幹線,新大阪,博多,644.0
,,,加古川線,加古川,谷川,48.5
,,,播但線,和田山,姫路,65.7
,,,姫新線,姫路,新見,158.1
,,,赤穂線,相生,東岡山,57.4
,,,津山線,津山,岡山,58.7
,,,吉備線,岡山,総社,20.4
,,,宇野線,岡山,宇野,32.8
,,,本四備讃線,茶屋町,児島,12.9
,,,伯備線,倉敷,伯耆大山,138.4
,,,芸備線,備中神代,広島,159.1
,,,福塩線,福山,塩町,78.0
,,,呉線,三原,海田市,87.0
,,,可部線,横川,可部,14.0
,,,岩徳線,岩国,櫛ヶ浜,43.7
,,,山口線,新山口,益田,93.9
,,,宇部線,新山口,宇部,33.2
,,,小野田線,小野田,居能,11.6
,,,小野田線(1),雀田,長門本山,2.3
,,,美祢線,厚狭,長門市,46.0,
,,,山陰線,京都,幡生,673.8,
,,,山陰線(1),長門市,仙崎,2.2,
,,,舞鶴線,東舞鶴,綾部,26.4,
,,,因美線,東津山,鳥取,70.8,
,,,境線,米子,境港,17.9,
,,,木次線,備後落合,宍道,81.9,
,,,三江線,三次,江津,108.1,
,,,関西線,亀山,ＪＲ難波,115.0,
,,,草津線,柘植,草津,36.7,
,,,奈良線,木津,京都,34.7,
,,,桜井線,奈良,高田,29.4,
,,,片町線,木津,京橋,44.8,
,,,片町線(1),鴫野,吹田,,時刻表非掲載　距離合計から除外（距離9.1km）
,,,片町線(2),正覚寺（信）,平野,,時刻表非掲載　距離合計から除外（距離1.5km）
,,,阪和線,天王寺,和歌山,61.3,
,,,阪和線(1),鳳,東羽衣,1.7,
,,,紀勢線,新宮,和歌山市,204.0,
,,,和歌山線,王寺,和歌山,87.5,
