11902,JR鹿児島本線(下関・門司港～博多)
11903,JR鹿児島本線(博多～八代)
11904,JR鹿児島本線(川内～鹿児島)
11905,JR長崎本線(鳥栖～長崎)
11906,JR日豊本線(門司港～佐伯)
11907,JR日豊本線(佐伯～鹿児島中央)
11908,JR篠栗線(福北ゆたか線)
11909,JR筑肥線(姪浜～西唐津)
11910,JR筑豊本線(若松線)(若松～折尾)
11911,JR筑豊本線(福北ゆたか線)(折尾～桂川)
11912,JR筑豊本線(原田線)(桂川～原田)
11913,JR久大本線(ゆふ高原線)
11914,JR日田彦山線
11915,JR後藤寺線
11916,JR香椎線(海の中道線)(西戸崎～香椎)
11917,JR香椎線(香椎～宇美)
11918,JR佐世保線
11920,JR筑肥線(西唐津～伊万里)
11921,JR唐津線
11922,JR大村線
11923,JR豊肥本線(阿蘇高原線)
11924,JR三角線
11925,JR肥薩線(えびの高原線)(八代～吉松)
11926,JR肥薩線(吉松～隼人)
11927,JR宮崎空港線
11928,JR日南線
11929,JR吉都線(えびの高原線)
11930,JR指宿枕崎線
21001,東武東上線
21002,東武伊勢崎線
21003,東武日光線
21004,東武野田線
21005,東武亀戸線
21006,東武大師線
21007,東武越生線
21008,東武宇都宮線
21009,東武鬼怒川線
21010,東武佐野線
21011,東武桐生線
21012,東武小泉線
22001,西武池袋線
22002,西武秩父線
22003,西武有楽町線
22004,西武豊島線
22005,西武狭山線
22006,西武山口線
22007,西武新宿線
22008,西武拝島線
22009,西武西武園線
22010,西武国分寺線
22011,西武多摩湖線
22012,西武多摩川線
23001,京成本線
23002,京成押上線
23003,京成金町線
23004,京成千葉線
23005,京成千原線
23006,京成成田空港線(成田スカイアクセス)
24001,京王京王線
24002,京王相模原線
24003,京王高尾線
24004,京王競馬場線
24005,京王動物園線
24006,京王井の頭線
25001,小田急小田原線
25002,小田急江ノ島線
25003,小田急多摩線
26001,東急東横線
26002,東急目黒線
26003,東急田園都市線
26004,東急大井町線
26005,東急池上線
26006,東急多摩川線
26007,東急世田谷線
26008,東急こどもの国線
27001,京急本線
27002,京急空港線
27003,京急大師線
27004,京急逗子線
27005,京急久里浜線
28001,東京メトロ銀座線
28002,東京メトロ丸ノ内線
28003,東京メトロ日比谷線
28004,東京メトロ東西線
28005,東京メトロ千代田線
28006,東京メトロ有楽町線
28007,東京メトロ有楽町新線(副都心線へ変更)
28008,東京メトロ半蔵門線
28009,東京メトロ南北線
28010,東京メトロ副都心線
29001,相鉄本線
29002,相鉄いずみ野線
30001,名鉄名古屋本線
30002,名鉄豊川線
30003,名鉄西尾線
30004,名鉄蒲郡線
30005,名鉄三河線
30006,名鉄豊田線
30007,名鉄空港線
30008,名鉄常滑線
30009,名鉄河和線
30010,名鉄知多新線
30011,名鉄築港線
30012,名鉄瀬戸線
30013,名鉄津島線
30014,名鉄尾西線
30015,名鉄犬山線
30016,名鉄各務原線
30017,名鉄広見線
30018,名鉄小牧線
30019,名鉄犬山モノレール線(廃止)
30020,名鉄竹鼻線
30021,名鉄羽島線
31001,近鉄難波線
31002,近鉄橿原線
31003,近鉄南大阪線
31004,近鉄養老線(移管)
31005,近鉄大阪線
31006,近鉄伊賀線(移管)
31007,近鉄吉野線
31008,近鉄湯の山線
31009,近鉄山田線
31010,近鉄鳥羽線
31011,近鉄天理線
31012,近鉄道明寺線
31013,近鉄内部線
31014,近鉄八王子線
31015,近鉄志摩線
31016,近鉄生駒線
31017,近鉄田原本線
31018,近鉄御所線
31019,近鉄鈴鹿線
31020,近鉄奈良線
31021,近鉄信貴線
31022,近鉄長野線
31023,近鉄けいはんな線
31024,近鉄西信貴ケーブル
31025,近鉄京都線
31026,近鉄生駒ケーブル
31027,近鉄名古屋線
32001,南海本線
32002,南海空港線
32003,南海和歌山港線
32004,南海高師浜線
32005,南海加太線
32006,南海多奈川線
32007,南海高野線(りんかんサンライン)
32008,南海高野山ケーブル
32009,南海汐見橋線
33001,京阪本線
33008,京阪中之島線
33002,京阪宇治線
33003,京阪交野線
33004,京阪鴨東線
33005,京阪男山ケーブル
33006,京阪石山坂本線
33007,京阪京津線
34001,阪急神戸本線
34002,阪急宝塚本線
34003,阪急京都本線
34004,阪急今津線
34005,阪急甲陽線
34006,阪急伊丹線
34007,阪急箕面線
34008,阪急千里線
34009,阪急嵐山線
35001,阪神本線
35002,阪神なんば線
35003,阪神武庫川線
36001,西鉄天神大牟田線
36002,西鉄太宰府線
36003,西鉄甘木線
36004,西鉄貝塚線
99101,札幌市営地下鉄東西線
99102,札幌市営地下鉄南北線
99103,札幌市営地下鉄東豊線
99104,札幌市電山鼻線
99105,函館市電２系統
99106,函館市電５系統
99107,北海道ちほく高原鉄道(廃止)
99201,津軽鉄道
99202,弘南鉄道弘南線
99203,弘南鉄道大鰐線
99204,十和田観光電鉄
99205,いわて銀河鉄道
99206,青い森鉄道
99207,三陸鉄道北リアス線
99208,三陸鉄道南リアス線
99209,秋田内陸縦貫鉄道
99210,由利高原鉄道
99211,山形鉄道フラワー長井線
99212,くりはら田園鉄道(廃止)
99213,阿武隈急行
99214,仙台市営地下鉄南北線
99215,福島交通飯坂線
99216,会津鉄道
99217,仙台空港線
